UserID,UserNo,Started,Ended,Q1,Q2,UK,Q3.1. 0 - 7 years old,Q3.2. 8 - 14 years old,Q3.3. 15 - 19 years old,Q3.4. 20 +,Q4,Q5,Q6
140321515,52,07/05/2020 09:06,07/05/2020 09:07,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Ireland,,-,2,-,-,Once or twice a week,Doing experiments,Yes
140323881,53,07/05/2020 09:34,07/05/2020 09:34,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Ireland,,-,-,-,2,Once or twice a week,curiosity,Yes
140325655,54,07/05/2020 09:54,07/05/2020 09:55,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,HD7 5UZ,1,-,-,-,1,Once or twice a week,work,Yes
140325474,55,07/05/2020 09:52,07/05/2020 09:56,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,E3,1,-,2,2,4,Every day,"Thinking
Creativity
Detective work
Remembering
Long hours
Fun
Making a difference 
Making a mess",Yes
140326159,57,07/05/2020 09:59,07/05/2020 10:00,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,E3,1,-,1,1,2,Every day,-,Yes
140326504,58,07/05/2020 10:03,07/05/2020 10:04,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Germany,,2,1,-,2,Every day,curiosity,Yes
140327256,59,07/05/2020 10:12,07/05/2020 10:16,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Denmark,,-,-,-,8,Once or twice a week,being curious about the world and using the scientific method trying to understand it,Yes
140327962,60,07/05/2020 10:20,07/05/2020 10:20,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,UK,1,-,-,-,10,Once or twice a month,-,Yes
140328087,62,07/05/2020 10:21,07/05/2020 10:23,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,India,,-,30,-,-,Once or twice a week,being curious,Yes
140328580,63,07/05/2020 10:27,07/05/2020 10:28,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,-,,-,-,-,5,Every day,seeing the world in different way.,Yes
140329547,64,07/05/2020 10:38,07/05/2020 10:40,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,ss12,1,-,-,1,1,Once or twice a month,breakthroughs,Yes
140329648,65,07/05/2020 10:39,07/05/2020 10:41,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Ireland,,1,2,-,3,Once or twice a week,"Discovering, fun, experiments,",Yes
140329697,66,07/05/2020 10:40,07/05/2020 10:42,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Australia,,2,-,-,-,Every day,Enquiring,Yes
140331360,67,07/05/2020 10:58,07/05/2020 10:59,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,OX1,1,1,-,-,2,Every day,awesome,Yes
140331629,69,07/05/2020 11:00,07/05/2020 11:02,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,ox10,1,1,-,-,2,Every day,PROGRESS,Yes
140331419,71,07/05/2020 10:29,07/05/2020 11:13,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Wr1 3dl,1,-,15,-,-,Once or twice a week,Exploring our world and asking questions.,Yes
140333067,72,07/05/2020 11:14,07/05/2020 11:16,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,RG12,1,-,-,-,2,Once or twice a week,investigation,Yes
140333762,73,07/05/2020 11:22,07/05/2020 11:23,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,ireland,,1,1,-,1,-,Living,-
140334187,74,07/05/2020 11:26,07/05/2020 11:27,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,WR5,1,-,10,-,-,Every day,fun,Yes
140334868,75,07/05/2020 11:33,07/05/2020 11:35,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Australia,,-,2,-,2,Once or twice a week,wonder,Yes
140335399,76,07/05/2020 11:39,07/05/2020 11:39,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,-,,-,-,-,-,-,-,-
140335932,77,07/05/2020 11:45,07/05/2020 11:48,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,UK,1,-,1,1,3,Every day,excitement,Yes
140338222,78,07/05/2020 12:12,07/05/2020 12:18,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,PO1,1,-,2,-,2,Every day,Exploration,Yes
140338921,79,07/05/2020 12:21,07/05/2020 12:25,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Denmark,,0,0,0,10,Every day,being curious.,Yes
140340960,81,07/05/2020 12:46,07/05/2020 12:47,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Finland,,-,1,1,2,Once or twice a week,work,Yes
140341406,82,07/05/2020 12:51,07/05/2020 12:52,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,SN2,1,-,2,-,2,Once or twice a week,curiousity,Yes
140343032,83,07/05/2020 13:13,07/05/2020 13:13,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,-,,-,-,-,-,-,-,-
140343788,84,07/05/2020 13:21,07/05/2020 13:22,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,L5,1,-,300,300,-,Once or twice a week,seeing change in the world.around yiu,Yes
140344150,85,07/05/2020 13:25,07/05/2020 13:28,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,USA,,-,-,-,5,Every day,have super powers,Yes
140345249,86,07/05/2020 13:40,07/05/2020 13:41,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,USA,,5,-,-,5,Every day,being cool,Yes
140344609,87,07/05/2020 13:32,07/05/2020 13:45,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Italy,,-,-,1,3,Every day,"explore, investigate, try to understand how the things around us work",Yes
140345864,88,07/05/2020 13:49,07/05/2020 14:09,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,OX13,1,-,1,-,1,Every day,"Potential
EnjoyingLearning",Yes
140347279,89,07/05/2020 14:07,07/05/2020 14:10,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,OX13,1,2,2,-,2,Once or twice a month,crazy....,Yes
140347377,90,07/05/2020 14:09,07/05/2020 14:11,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,UK,1,-,-,-,5,Once or twice a week,reasonable,Yes
140348259,92,07/05/2020 14:19,07/05/2020 14:20,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,"WF28AH, England",1,-,-,-,2,Every day,investigating,Yes
140348432,93,07/05/2020 14:21,07/05/2020 14:24,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,OX12,1,-,-,1,3,Every day,Everything,Yes
140348587,94,07/05/2020 14:23,07/05/2020 14:24,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,OX14,1,1,-,-,2,Every day,-,Yes
